customer_id,probability_of_churn,prediction_of_churn
0016-QLJIS,0.04787399821739686,0
0017-DINOC,0.06170432195567771,0
0019-GFNTW,0.05789467770286376,0
0056-EPFBG,0.16961485621875885,0
0078-XZMHT,0.037754176096838885,0
0114-IGABW,0.036777679348829424,0
0123-CRBRT,0.05413764574955467,0
0191-EQUUH,0.1459387993960515,0
0214-JHPFW,0.037953822365947645,0
0229-LFJAF,0.0364990320025648,0
0230-WEQUW,0.04308542277951939,0
0238-WHBIQ,0.03813042919568713,0
0244-LGNFY,0.0383762950264117,0
0253-ZTEOB,0.11575529467689402,0
0263-FJTQO,0.07381480521606658,0
0270-THENM,0.036514968835272554,0
0277-ORXQS,0.042523873036905614,0
0298-XACET,0.06642527222139014,0
0301-FIDRB,0.03603582958882849,0
0336-KXKFK,0.03583178287310163,0
0336-PIKEI,0.03687934548080155,0
0343-QLUZP,0.05036795461193423,0
0361-HJRDX,0.04107500327868223,0
0363-SVHYR,0.039143062500830904,0
0379-DJQHR,0.04401630290563385,0
0383-CLDDA,0.04162413871308019,0
0412-UCCNP,0.08983711294468516,0
0420-TXVSG,0.04398150789937838,0
0436-TWFFZ,0.044389575658691297,0
0440-EKDCF,0.04937826554859263,0
0455-ENTCR,0.06738719868209767,0
0458-HEUZG,0.20401632775186132,0
0459-SPZHJ,0.05028625611820033,0
0487-CRLZF,0.07678547212973877,0
0513-RBGPE,0.10826430587925072,0
0526-SXDJP,0.034366574343653984,0
0531-XBKMM,0.04394342199661528,0
0536-ESJEP,0.06566792673307287,0
0556-FJEGU,0.05731425030926087,0
0562-FGDCR,0.036891417247084286,0
0562-KBDVM,0.03687690770728227,0
0567-XRHCU,0.03803951575575865,0
0602-DDUML,0.05911944788800039,0
0604-THJFP,0.056218363858684506,0
0617-AQNWT,0.06630894440532505,0
0621-JFHOL,0.21868312267209394,0
0674-GCDXG,0.04904597465157723,0
0707-HOVVN,0.03944536060830641,0
0730-BGQGF,0.039438077998384745,0
0739-UUAJR,0.03525710582283265,0
0744-BIKKF,0.03787781976886642,0
0757-WCUUZ,0.06412822342446492,0
0769-MURVM,0.03618564752968962,0
0771-CHWSK,0.04479831504705483,0
0774-RMNUW,0.036894222595820966,0
0795-LAFGP,0.058169189994746996,0
0813-TAXXS,0.06406912614410745,0
0839-JTCUD,0.04630512371358962,0
0848-SOMKO,0.0371838801739348,0
0885-HMGPY,0.05037123757757337,0
0895-UADGO,0.23648491368931532,0
0909-SELIE,0.05329703072196656,0
0916-KNFAJ,0.05206476460611903,0
0942-KOWSM,0.13802701200384415,0
0945-TSONX,0.08356810798726381,0
0973-KYVNF,0.036578783139714494,0
0979-MOZQI,0.04717714950688938,0
0988-AADSA,0.037401876456171906,0
1023-BQXZE,0.059701773595364285,0
1027-LKKQQ,0.037369265490426955,0
1084-MNSMJ,0.07383264110282624,0
1088-AUUZZ,0.06181988296577777,0
1116-FRYVH,0.073609036484496,0
1139-WUOAH,0.057086385099431036,0
1172-VIYBP,0.06707657752846499,0
1187-WILMM,0.05092843082661749,0
1194-BHJYC,0.05120504184368458,0
1209-VFFOC,0.04037146093327159,0
1221-GHZEP,0.0499073093578702,0
1227-UDMZR,0.038251088884415384,0
1265-BCFEO,0.03860138469449131,0
1265-ZFOSD,0.048469682327317104,0
1266-NZYUI,0.03627661785244425,0
1271-UODNO,0.10008230867065646,0
1335-MXCSE,0.06107321706627583,0
1371-DWPAZ,0.29395888111704566,0
1431-AIDJQ,0.12675163349250312,0
1459-QNFQT,0.03809469304866246,0
1498-NHTLT,0.08408505879320496,0
1506-YJTYT,0.08680191761397142,0
1525-LNLOJ,0.04371556654726954,0
1568-BEKZM,0.0407133973212627,0
1568-LJSZU,0.043633275760695,0
1642-HMARX,0.06414203536555758,0
1676-MQAOA,0.03693571291009736,0
1699-UOTXU,0.07732618373933353,0
1716-LSAMB,0.08341550729285699,0
1775-KWJKQ,0.03814289426254288,0
1814-WFGVS,0.03488147390815836,0
1821-BUCWY,0.13138709868293105,0
1837-YQUCE,0.03799934333277862,0
1897-OKVMW,0.049450657602574825,0
